g_key,g_id,g_name
1,11,Maize
2,12,Wheat
3,13,Pearl millet
4,14,Sorghum
5,15,Finger millet
6,16,Rice
7,19,Other cereals
8,21,Bean
9,22,Soybean
10,23,Pigeonpea
11,24,Chickpea
12,25,Cowpea
13,26,Peas
14,27,Groundnut
15,28,Bambara nuts
16,29,"Other pulses, nuts"
17,31,Cabbage
18,32,Tomatoes
19,33,Okra
20,34,Amaranthus
21,35,Red pepper
22,36,Green pepper
23,37,Garden Eggs
24,38,Ayoyo
25,39,Bitter Leaves
26,40,Carrots
27,41,Watermelon
28,49,Other vegetables
29,51,Onion
30,52,Irish potato
31,53,Sweet potato
32,54,Garlic
33,55,Cassava
34,56,Ginger
35,57,Yam
36,59,"Other roots, tubers"
37,61,Avocado
38,62,Banana
39,63,Mango
40,64,Orange
41,65,Pawpaw/Papaya
42,66,Dawadawa
43,67,Oil palm
44,68,Sugar cane
45,69,Other perennial
46,71,Cotton
47,72,Baobab
48,73,Tobacco
49,74,Shea Nut
50,79,Other crops
51,81,Fallow
52,82,Pasture/grazing
53,83,Planted fodder
54,84,Planted trees
55,85,Natural trees
56,89,Other uses

